Date,Depth,Temperature,Oxygen,Group
8/26/2025,1,25,NA,G2
8/26/2025,2,24.56,NA,G2
8/26/2025,3,23.73,NA,G2
8/26/2025,4,19.27,NA,G2
8/26/2025,5,16.08,NA,G2
8/26/2025,0.17,33.89,NA,G3
8/26/2025,1.02,24.95,NA,G3
8/26/2025,2.05,24.57,NA,G3
8/26/2025,3.01,23.83,NA,G3
8/26/2025,3.99,19.79,NA,G3
8/26/2025,5,16.19,NA,G3
8/26/2025,5.67,15.28,NA,G3
8/26/2025,0.09,28.33,NA,G1
8/26/2025,1.00,25.01,NA,G1
8/26/2025,2.00,24.55,NA,G1
8/26/2025,3.00,23.94,NA,G1
8/26/2025,4.00,19.68,NA,G1
8/26/2025,4.91,17.26,NA,G1
8/26/2025,5.80,15.20,NA,G1